wiki data link,Name
http://www.wikidata.org/entity/Q738498,Tarquinio Provini
http://www.wikidata.org/entity/Q169814,Valentino Rossi
http://www.wikidata.org/entity/Q173147,Mike Hailwood
http://www.wikidata.org/entity/Q241112,Jorge Lorenzo
http://www.wikidata.org/entity/Q722828,Phil Read
http://www.wikidata.org/entity/Q313563,Casey Stoner
http://www.wikidata.org/entity/Q776935,Jim Redman
http://www.wikidata.org/entity/Q63513,Anton Mang
http://www.wikidata.org/entity/Q1042564,Carlo Ubbiali
http://www.wikidata.org/entity/Q3153,John Surtees
http://www.wikidata.org/entity/Q55903347,Jorge Martinez
http://www.wikidata.org/entity/Q708019,Luca Cadalora
http://www.wikidata.org/entity/Q339600,Geoff Duke
http://www.wikidata.org/entity/Q472104,Eddie Lawson
http://www.wikidata.org/entity/Q765492,Eugenio Lazzarini
http://www.wikidata.org/entity/Q167233,Hugh Anderson
http://www.wikidata.org/entity/Q925691,Maverick Viñales
http://www.wikidata.org/entity/Q540522,Kevin Schwantz
http://www.wikidata.org/entity/Q355033,Andrea Dovizioso
http://www.wikidata.org/entity/Q152119,Kenny Roberts
http://www.wikidata.org/entity/Q464680,Wayne Rainey
http://www.wikidata.org/entity/Q1337168,Walter Villa
http://www.wikidata.org/entity/Q726321,Barry Sheene
http://www.wikidata.org/entity/Q457818,Marco Melandri
http://www.wikidata.org/entity/Q1382825,Fausto Gresini
http://www.wikidata.org/entity/Q68563,Ralf Waldmann
http://www.wikidata.org/entity/Q738498,Tarquinio Provini
http://www.wikidata.org/entity/Q614845,Gary Hocking
http://www.wikidata.org/entity/Q1336560,Ricardo Tormo
http://www.wikidata.org/entity/Q1043018,Carlos Lavado
http://www.wikidata.org/entity/Q678788,Kent Andersson
http://www.wikidata.org/entity/Q679723,Stefan Dörflinger
http://www.wikidata.org/entity/Q4053220,Wayne Gardner
http://www.wikidata.org/entity/Q3643470,Brad Binder
http://www.wikidata.org/entity/Q1997778,Miguel Oliveira
http://www.wikidata.org/entity/Q533297,Mika Kallio
http://www.wikidata.org/entity/Q221180,Johann Zarco
http://www.wikidata.org/entity/Q68857,Ernst Degner
http://www.wikidata.org/entity/Q727012,Jarno Saarinen
http://www.wikidata.org/entity/Q15080981,Francesco Bagnaia
http://www.wikidata.org/entity/Q568483,Jan De Vries
http://www.wikidata.org/entity/Q1221737,Dieter Braun
http://www.wikidata.org/entity/Q732601,John Kocinski
http://www.wikidata.org/entity/Q768240,Randy Mamola
http://www.wikidata.org/entity/Q494147,Andrea Iannone
http://www.wikidata.org/entity/Q1119837,Romano Fenati
http://www.wikidata.org/entity/Q719437,Mattia Pasini
http://www.wikidata.org/entity/Q1369383,Fergus Anderson
http://www.wikidata.org/entity/Q63929995,Joan Mir
http://www.wikidata.org/entity/Q478513,Manuel Poggiali
http://www.wikidata.org/entity/Q14108386,Jorge Martin
http://www.wikidata.org/entity/Q16011791,Franco Morbidelli
http://www.wikidata.org/entity/Q1173347,Dave Simmonds
http://www.wikidata.org/entity/Q63792,Werner Haas
http://www.wikidata.org/entity/Q16635516,Fabio Quartararo
http://www.wikidata.org/entity/Q6381614,Raul Fernandez
http://www.wikidata.org/entity/Q1373200,Rodney Gould
http://www.wikidata.org/entity/Q862275,Bill Lomas
http://www.wikidata.org/entity/Q1120213,Ezio Gianola
http://www.wikidata.org/entity/Q15429619,Luis Salom
http://www.wikidata.org/entity/Q1189664,Jack Miller
http://www.wikidata.org/entity/Q3946338,Sam Lowes
http://www.wikidata.org/entity/Q1582605,Hans Spaan
http://www.wikidata.org/entity/Q15987163,Enea Bastianini
http://www.wikidata.org/entity/Q779883,Loris Reggiani
http://www.wikidata.org/entity/Q1605571,Leslie Graham
http://www.wikidata.org/entity/Q1379895,Paolo Pileri
http://www.wikidata.org/entity/Q1712024,Julian Simon
http://www.wikidata.org/entity/Q1081702,Christian Sarron
http://www.wikidata.org/entity/Q1343831,Enrico Lorenzetti
http://www.wikidata.org/entity/Q35831337,Dennis Foggia
http://www.wikidata.org/entity/Q95827326,Alex Barros
http://www.wikidata.org/entity/Q1065179,Lucio Cecchinello
http://www.wikidata.org/entity/Q3666812,Chas Mortimer
http://www.wikidata.org/entity/Q61380,Stefan Bradl
http://www.wikidata.org/entity/Q705985,Olivier Jacque
http://www.wikidata.org/entity/Q691523,Arnaud Vincent
http://www.wikidata.org/entity/Q674207,Marco Lucchinelli
http://www.wikidata.org/entity/Q7454265,Sergio Garcia
http://www.wikidata.org/entity/Q63763956,Guy Bertin
http://www.wikidata.org/entity/Q22277046,Marco Bezzecchi
http://www.wikidata.org/entity/Q739994,Renzo Pasolini
http://www.wikidata.org/entity/Q722485,Libero Liberati
http://www.wikidata.org/entity/Q22958421,Albert Arenas
http://www.wikidata.org/entity/Q108143602,Luca Marini
